,line_item_id,quantity,product_id,product_name,price,total
0,1,6,45,Handcrafted Wooden Fish,8.95,53.699999999999996
1,2,20,49,Steel Sausages,5.35,107.0
2,3,11,51,Pants,9.89,108.79
3,4,17,54,Licensed Plastic Bike,9.3,158.10000000000002
4,5,7,51,Pants,9.89,69.23
5,6,2,6,Cotton Bike,8.34,16.68
6,7,6,41,Practical Steel Towels,4.49,26.94
7,8,5,37,Frozen Computer,2.26,11.299999999999999
8,9,16,24,Plastic Pants,6.62,105.92
9,10,18,26,Unbranded Chicken,4.86,87.48
10,11,5,51,Pants,9.89,49.45
11,12,18,39,Unbranded Wooden Hat,6.36,114.48
12,13,20,52,Rubber Towels,4.72,94.39999999999999
13,14,16,34,Concrete Pants,8.52,136.32
14,15,6,26,Unbranded Chicken,4.86,29.160000000000004
15,16,14,34,Concrete Pants,8.52,119.28
16,17,19,45,Handcrafted Wooden Fish,8.95,170.04999999999998
17,18,14,29,For repair Fresh Fish,9.26,129.64
18,19,14,4,Ergonomic Wooden Soap,8.99,125.86
19,20,9,24,Plastic Pants,6.62,59.58
20,21,1,13,Soft Pizza,1.81,1.81
21,22,11,58,Intelligent Chips,7.69,84.59
22,23,11,47,Tuna,9.72,106.92
23,24,7,14,Handcrafted Hat,3.55,24.849999999999998
24,25,9,6,Cotton Bike,8.34,75.06
25,26,15,54,Licensed Plastic Bike,9.3,139.5
26,27,12,9,Unbranded Wooden Keyboard,0.83,9.959999999999999
27,28,14,35,Practical Fish,8.83,123.62
28,29,6,6,Cotton Bike,8.34,50.04
29,30,18,1,Fantastic Shoes,2.25,40.5
30,31,1,51,Pants,9.89,9.89
31,32,1,35,Practical Fish,8.83,8.83
32,33,3,45,Handcrafted Wooden Fish,8.95,26.849999999999998
33,34,5,2,For repair Soft Table,5.19,25.950000000000003
34,35,5,15,Small Fish,1.34,6.7
35,36,16,9,Unbranded Wooden Keyboard,0.83,13.28
36,37,7,1,Fantastic Shoes,2.25,15.75
37,38,7,36,Sleek Concrete Cheese,3.92,27.439999999999998
38,39,16,2,For repair Soft Table,5.19,83.04
39,40,19,15,Small Fish,1.34,25.46
40,41,12,4,Ergonomic Wooden Soap,8.99,107.88
41,42,14,36,Sleek Concrete Cheese,3.92,54.879999999999995
42,43,14,45,Handcrafted Wooden Fish,8.95,125.29999999999998
43,44,16,44,Practical Tuna,1.0,16.0
44,45,13,21,Steel Car,9.18,119.34
45,46,9,2,For repair Soft Table,5.19,46.71
46,47,12,20,Licensed Cheese,3.93,47.160000000000004
47,48,8,33,Steel Computer,7.42,59.36
48,49,19,38,Wooden Mouse,5.04,95.76
49,50,1,12,Mouse,6.42,6.42
50,51,16,58,Intelligent Chips,7.69,123.04
51,52,19,34,Concrete Pants,8.52,161.88
52,53,5,14,Handcrafted Hat,3.55,17.75
53,54,19,49,Steel Sausages,5.35,101.64999999999999
54,55,11,15,Small Fish,1.34,14.74
55,56,16,47,Tuna,9.72,155.52
56,57,11,57,New Fresh Chips,7.73,85.03
57,58,5,5,Wooden Shoes,8.22,41.1
58,59,14,2,For repair Soft Table,5.19,72.66000000000001
59,60,18,6,Cotton Bike,8.34,150.12
60,61,18,55,Chair,3.62,65.16
61,62,10,15,Small Fish,1.34,13.4
62,63,9,26,Unbranded Chicken,4.86,43.74
63,64,1,2,For repair Soft Table,5.19,5.19
64,65,4,52,Rubber Towels,4.72,18.88
65,66,5,19,Hat,6.92,34.6
66,67,20,50,Fantastic Fish,9.59,191.8
67,68,17,35,Practical Fish,8.83,150.11
68,69,5,12,Mouse,6.42,32.1
69,70,13,40,Cotton Ball,6.59,85.67
70,71,14,15,Small Fish,1.34,18.76
71,72,10,25,Incredible Hat,1.92,19.2
72,73,7,43,Salad,0.53,3.71
73,74,7,7,Sleek Granite Car,9.03,63.209999999999994
74,75,3,51,Pants,9.89,29.67
75,76,3,36,Sleek Concrete Cheese,3.92,11.76
76,77,17,2,For repair Soft Table,5.19,88.23
77,78,15,59,Ball,8.45,126.74999999999999
78,79,12,28,Concrete Gloves,5.71,68.52
79,80,4,40,Cotton Ball,6.59,26.36
80,81,20,43,Salad,0.53,10.600000000000001
81,82,13,41,Practical Steel Towels,4.49,58.370000000000005
82,83,5,35,Practical Fish,8.83,44.15
83,84,16,50,Fantastic Fish,9.59,153.44
84,85,1,1,Fantastic Shoes,2.25,2.25
85,86,5,29,For repair Fresh Fish,9.26,46.3
86,87,3,43,Salad,0.53,1.59
87,88,11,36,Sleek Concrete Cheese,3.92,43.12
88,89,18,49,Steel Sausages,5.35,96.3
89,90,5,14,Handcrafted Hat,3.55,17.75
90,91,7,13,Soft Pizza,1.81,12.67
91,92,10,24,Plastic Pants,6.62,66.2
92,93,6,5,Wooden Shoes,8.22,49.32000000000001
